Строка;Было;Стало;Действие;Вердикт сверки;Наименование
537;ККО ?;ККО;снят «?»;OK;Панели защитные, стеновые кл. Бр-3 по пулестойкости и III класс взломостойкости, сварное соединение, облегченные, Покрас
538;ККО ?;ККО;снят «?»;OK;Панели защитные, стеновые V класс взломостойкости, сварное соединение, бетонно-заливная. Покраска грунт
689;ККО ?;ККО;снят «?»;СКОРЕЕ ВЕРНО;Установка унитаза пр-во  JIKA BALTIC(в комплекте с бачком, сиденьем, запорной арматурой)
690;ККО ?;ККО;снят «?»;СКОРЕЕ ВЕРНО;Установка умывальника JIKA ZETA (в комплекте с пъедесталом JIKA, включая смеситель и гибкие подводки , сифон, кронштейны
691;ККО ?;ККО;снят «?»;СКОРЕЕ ВЕРНО;Установка унитаза Jacob Delafon Escale 19038(в комплекте с бачком, сиденьем, запорной арматурой)
692;ККО ?;ККО;снят «?»;СКОРЕЕ ВЕРНО;Установка умывальника Jacob Delafon Escale E1211  гибкие подводки , сифон, кронштейны)
693;ККО ?;ККО;снят «?»;СКОРЕЕ ВЕРНО;Установка системы инсталяции Geberit Duofix UP320 111.300.00.5
694;ККО ?;ККО;снят «?»;СКОРЕЕ ВЕРНО;Установка унитаза подвесного AlBANO BB120CHR, безободкового с креплением P-trap, с сиденьем ALBANO BB120SC и кнопкой сли
695;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;Установка раковины Catalano Premium 40*32, белая. Арт. 140VP00. в комплекте с сифоном AlcaPlast A400 Black, подводкой и 
696;ККО ?;ККО;снят «?»;СКОРЕЕ ВЕРНО;Установка унитаза подвесногоPure 36,5х54 см Арт. 8204230000001, сиденье для унитаза Pure дюропласт, с микролифтом  и кно
698;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;Унитаз подвесной безободковый (сиденье микролифт) SL-5007
699;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;Смеситель сенсорный Swedbe Europe 6000-220.
700;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;CN6014 Умывальник чаша накладная круглая Element 435*435*135мм
701;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;ES3300 CREAVIT Кран для писсуара сенсорный
