Строка;Было;Стало;Действие;Вердикт сверки;Наименование
1404;ККО ?;ККО;снят «?»;СКОРЕЕ ВЕРНО;Контактор модульный ABB ESB20-11 1НО+1НЗ
1405;ККО ?;ККО;снят «?»;СКОРЕЕ ВЕРНО;Контактор модульный ABB ESB20-11 2НО
1406;ККО ?;ККО;снят «?»;СКОРЕЕ ВЕРНО;Контактор модульный ABB ESB20-20
1407;ККО ?;ККО;снят «?»;СКОРЕЕ ВЕРНО;Контактор модульный ABB ESB24-31
1408;ККО ?;ККО;снят «?»;СКОРЕЕ ВЕРНО;Контактор модульный ABB ESB40-40
1409;ККО ?;ККО;снят «?»;СКОРЕЕ ВЕРНО;Контактор модульный ABB ESB63-40
1410;ККО ?;ККО;снят «?»;СКОРЕЕ ВЕРНО;Реле времени недельное ABB ATS
1411;ККО ?;ККО;снят «?»;СКОРЕЕ ВЕРНО;Реле освещенности ABB TW, Датчик освещенности ABB LS-SP
1419;ККО ?;ККО;снят «?»;СКОРЕЕ ВЕРНО;Электромеханический  недельный таймер ABB
1425;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;Консоль 400 мм BBH-60 усиленная
1426;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;Консоль усиленная 200мм
1428;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;Подвес вертикальный одиночный L=600мм
1429;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;Подвес вертикальный двойной 41х21 L 600
1432;ККО ?;ККО;снят «?»;СКОРЕЕ ВЕРНО;Установка одноклавишных выключателей  Schneider Electric BLANCA О/У 1-клавишный, 10А, 250B, цвет – Алюминий
1434;ИНФРАСТРУКТУРА ?;;очищено;НЕ ПОДТВЕРЖДЕНО;Светодиодная лента, IP65 Источник света: LED,14Вт/м, 4200К (основной свет в переговорных)
1435;ИНФРАСТРУКТУРА ?;;очищено;НЕ ПОДТВЕРЖДЕНО;Блок питания, 60Вт IP20 светодиодной ленты
1436;ИНФРАСТРУКТУРА ?;;очищено;НЕ ПОДТВЕРЖДЕНО;Алюминиевый профиль встраевыемый в гипсокартон для светодиодной ленты
1437;ККО;;очищено;НЕ ПОДТВЕРЖДЕНО;Подвес LGD-4TR-HANG-2-WH ©
1438;ККО;;очищено;НЕ ПОДТВЕРЖДЕНО;Коннектор прямой LGD-4TR-CON-LONG-WH
1439;ККО;;очищено;НЕ ПОДТВЕРЖДЕНО;Коннектор питания LGD-4TR-CON-POWER-L-WH
1440;ККО;;очищено;НЕ ПОДТВЕРЖДЕНО;Заглушка LGD-4TR-CAP-WH
1441;ККО;;очищено;НЕ ПОДТВЕРЖДЕНО;Коннектор внутренний LGD-4TR-CON-MINI-WH ©
1442;ККО;;очищено;НЕ ПОДТВЕРЖДЕНО;Зажим LGD-4TR-CLIP-WH ©
1444;ИНФРАСТРУКТУРА;;очищено;НЕ ПОДТВЕРЖДЕНО;Acc. Wire ↓ suspension 1500mm - Тросовый подвес с регулировкой внизу, 1 шт.
1445;ИНФРАСТРУКТУРА;;очищено;НЕ ПОДТВЕРЖДЕНО;LED strip N2835 11W/m 24V 120led/m 1220Lm/m 4000K CRI90 IP20 5m
1446;ИНФРАСТРУКТУРА;;очищено;НЕ ПОДТВЕРЖДЕНО;Led driver  N24V45W
1447;ИНФРАСТРУКТУРА;;очищено;НЕ ПОДТВЕРЖДЕНО;Led driver  N24V60W
1448;ИНФРАСТРУКТУРА;;очищено;НЕ ПОДТВЕРЖДЕНО;Led driver  N24V80W
1451;ИНФРАСТРУКТУРА;;очищено;НЕ ПОДТВЕРЖДЕНО;Усилитель стыка, (черный) (белый)
1452;ИНФРАСТРУКТУРА;;очищено;НЕ ПОДТВЕРЖДЕНО;Tросик 1,5м (серебро)
1453;ИНФРАСТРУКТУРА;;очищено;НЕ ПОДТВЕРЖДЕНО;Tросик 1,5м (серебро)
1454;ИНФРАСТРУКТУРА;;очищено;НЕ ПОДТВЕРЖДЕНО;Заглушка, (черная, белая)
1455;ИНФРАСТРУКТУРА;;очищено;НЕ ПОДТВЕРЖДЕНО;Tросик 1,5м (серебро)
1456;ИНФРАСТРУКТУРА;;очищено;НЕ ПОДТВЕРЖДЕНО;Заглушка, (черная, белая)
1457;ИНФРАСТРУКТУРА;;очищено;НЕ ПОДТВЕРЖДЕНО;Tросик 1,5м (серебро)
1458;ИНФРАСТРУКТУРА;;очищено;НЕ ПОДТВЕРЖДЕНО;Заглушка, (черная, белая)
1459;ИНФРАСТРУКТУРА;;очищено;НЕ ПОДТВЕРЖДЕНО;Tросик 1,5м (серебро)
1460;ИНФРАСТРУКТУРА;;очищено;НЕ ПОДТВЕРЖДЕНО;Заглушка, (черная, белая)
1461;ИНФРАСТРУКТУРА;;очищено;НЕ ПОДТВЕРЖДЕНО;Tросик 1,5м (серебро)
1468;ККО;;очищено;НЕ ПОДТВЕРЖДЕНО;Монтаж светильника аварийного потолочного  Навигатор  серии NEF-07 - 3 Вт, режим работы: постоянный/непостоянный, время 
1471;ККО;;очищено;НЕ ПОДТВЕРЖДЕНО;Монтаж Светильника аварийного потолочного  светильник PL CL 1.0 Pelastus
1472;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;Светильник светодиодный OWP OPTIMA LED 595 IP54/IP54 4000K mat Световые Технологии
1473;ККО ?;;очищено;НЕ ПОДТВЕРЖДЕНО;Светильник с зеркалом и SPC-RNG-600-LED-TCH, 12W, 220-240V, 600x30с подсветкой  и сенсорным выключателем belbagno арт. S
1474;ККО ?;ККО;снят «?»;СКОРЕЕ ВЕРНО;Установка розетки двойной накладной в запотолочном пространстве  Schneider
1490;ИНФРАСТРУКТУРА ?;;очищено;НЕ ПОДТВЕРЖДЕНО;Устнаовка СВЕТОДИОДНОГО ПОДВЕСНОГО СВЕТИЛЬНИКА MAYTONI NOLA MOD807-PL-02-60-W
1502;ККО;;очищено;НЕ ПОДТВЕРЖДЕНО;Светильник светодиодный линейный CSVT FLORA-50 27 993х50х70 CRI80 4000 microprisma IP40 красный AB (в комплекте с подвес
1503;ККО;;очищено;НЕ ПОДТВЕРЖДЕНО;Светильник светодиодный линейный CSVT FLORA-50 36 1540х50х70 CRI80 4000 microprisma IP40 красный AB (в комплекте с подве
1504;ККО;;очищено;НЕ ПОДТВЕРЖДЕНО;Светильник светодиодный линейный CSVT FLORA-50 52 1985х50х70 CRI80 4000 microprisma IP40 красный AB (в комплекте с подве
1505;ККО;;очищено;НЕ ПОДТВЕРЖДЕНО;Светильник светодиодный линейный CSVT FLORA-50 70 3040х50х70 CRI80 4000 microprisma IP40 красный AB (в комплекте с подве
1577;ИНФРАСТРУКТУРА;;очищено;НЕ ПОДТВЕРЖДЕНО;IEK Светильник ДСП 1318 48Вт 4500К IP65 1500мм
1578;ИНФРАСТРУКТУРА;;очищено;НЕ ПОДТВЕРЖДЕНО;IEK Светильник ДСП 1318 48Вт 4500К IP65 1500мм Emerg
1579;ИНФРАСТРУКТУРА;;очищено;НЕ ПОДТВЕРЖДЕНО;Внутренний стык к шинопроводу (черный) (белый)
1580;ИНФРАСТРУКТУРА;;очищено;НЕ ПОДТВЕРЖДЕНО;Левый токоподвод к шинопроводу (черный) (белый)
1581;ИНФРАСТРУКТУРА;;очищено;НЕ ПОДТВЕРЖДЕНО;Скоба крепления к шинопроводу (черный) (белый)
1582;ИНФРАСТРУКТУРА;;очищено;НЕ ПОДТВЕРЖДЕНО;Колпачок к шинопроводу (черный)
1584;ИНФРАСТРУКТУРА;;очищено;НЕ ПОДТВЕРЖДЕНО;Угол к шинопроводу (черный)
1585;ИНФРАСТРУКТУРА;;очищено;НЕ ПОДТВЕРЖДЕНО;Скоба крепления к шинопроводу (черный) (белый)
1586;ИНФРАСТРУКТУРА;;очищено;НЕ ПОДТВЕРЖДЕНО;Колпачок к шинопроводу (черный) (белый)
1588;ИНФРАСТРУКТУРА;;очищено;НЕ ПОДТВЕРЖДЕНО;Внутренний стык к шинопроводу (черный) (белый)
1589;ИНФРАСТРУКТУРА;;очищено;НЕ ПОДТВЕРЖДЕНО;Левый токоподвод к шинопроводу (черный) (белый)
1590;ИНФРАСТРУКТУРА;;очищено;НЕ ПОДТВЕРЖДЕНО;Скоба крепления к шинопроводу (черный) (белый)
1591;ИНФРАСТРУКТУРА;;очищено;НЕ ПОДТВЕРЖДЕНО;Колпачок к шинопроводу (черный) (белый)
1593;ИНФРАСТРУКТУРА;;очищено;НЕ ПОДТВЕРЖДЕНО;Внутренний стык к шинопроводу (черный) (белый)
1594;ИНФРАСТРУКТУРА;;очищено;НЕ ПОДТВЕРЖДЕНО;Левый токоподвод к шинопроводу (черный) (белый)
1595;ИНФРАСТРУКТУРА;;очищено;НЕ ПОДТВЕРЖДЕНО;Скоба крепления к шинопроводу (черный) (белый)
1596;ИНФРАСТРУКТУРА;;очищено;НЕ ПОДТВЕРЖДЕНО;Колпачок к шинопроводу (черный) (белый)
1598;ИНФРАСТРУКТУРА;;очищено;НЕ ПОДТВЕРЖДЕНО;Внутренний стык к шинопроводу (черный) (белый)
1599;ИНФРАСТРУКТУРА;;очищено;НЕ ПОДТВЕРЖДЕНО;Левый токоподвод к шинопроводу (черный) (белый)
1600;ИНФРАСТРУКТУРА;;очищено;НЕ ПОДТВЕРЖДЕНО;Скоба крепления к шинопроводу (черный) (белый)
1601;ИНФРАСТРУКТУРА;;очищено;НЕ ПОДТВЕРЖДЕНО;Колпачок к шинопроводу (черный) (белый)
1603;ИНФРАСТРУКТУРА;;очищено;НЕ ПОДТВЕРЖДЕНО;Левый токоподвод к шинопроводу (черный) (белый)
1604;ИНФРАСТРУКТУРА;;очищено;НЕ ПОДТВЕРЖДЕНО;Скоба крепления к шинопроводу (черный) (белый)
1605;ИНФРАСТРУКТУРА;;очищено;НЕ ПОДТВЕРЖДЕНО;Колпачок к шинопроводу (черный) (белый)
1611;ИНФРАСТРУКТУРА;;очищено;НЕ ПОДТВЕРЖДЕНО;LED лампа 13W/827 FR DIM E27 1521 lm
1612;ИНФРАСТРУКТУРА;;очищено;НЕ ПОДТВЕРЖДЕНО;LED лампа 13W/827 FR DIM E27 1521 lm
1613;ИНФРАСТРУКТУРА;;очищено;НЕ ПОДТВЕРЖДЕНО;LED лампа 13W/827 FR DIM E27 1521 lm
1635;ККО ?;ККО;снят «?»;СКОРЕЕ ВЕРНО;Установка розетки двойной накладной в запотолочном пространстве  Schneider
